nodo,variable,dia,max,min,promedio,recuento,suma
cacao-01-lote1-twin,soilMoisture,2026-09-24,41.3,15.9,29.77,81,
cacao-01-lote1-twin,soilMoisture,2026-09-25,,,,0,
cacao-01-lote1-twin,soilMoisture,2026-09-26,,,,0,
cacao-01-lote1-twin,soilMoisture,2026-09-27,,,,0,
cacao-01-lote1-twin,soilTemperature,2026-09-24,29.11,20.69,25.09,81,
cacao-01-lote1-twin,soilTemperature,2026-09-25,,,,0,
cacao-01-lote1-twin,soilTemperature,2026-09-26,,,,0,
cacao-01-lote1-twin,soilTemperature,2026-09-27,,,,0,
cacao-01-lote1-twin,soilEC,2026-09-24,1.39,0.35,0.9,81,
cacao-01-lote1-twin,soilEC,2026-09-25,,,,0,
cacao-01-lote1-twin,soilEC,2026-09-26,,,,0,
cacao-01-lote1-twin,soilEC,2026-09-27,,,,0,
cacao-02-lote2-wokwi,soilMoisture,2026-09-24,,,,0,
cacao-02-lote2-wokwi,soilMoisture,2026-09-25,,,,0,
cacao-02-lote2-wokwi,soilMoisture,2026-09-26,,,,0,
cacao-02-lote2-wokwi,soilMoisture,2026-09-27,,,,0,
cacao-02-lote2-wokwi,temperature,2026-09-24,,,,0,
cacao-02-lote2-wokwi,temperature,2026-09-25,,,,0,
cacao-02-lote2-wokwi,temperature,2026-09-26,,,,0,
cacao-02-lote2-wokwi,temperature,2026-09-27,,,,0,
cacao-02-lote2-wokwi,illuminance,2026-09-24,,,,0,
cacao-02-lote2-wokwi,illuminance,2026-09-25,,,,0,
cacao-02-lote2-wokwi,illuminance,2026-09-26,,,,0,
cacao-02-lote2-wokwi,illuminance,2026-09-27,,,,0,
cacao-03-lote3-sdk,soilMoisture,2026-09-24,17.3,16.4,16.94,14,
cacao-03-lote3-sdk,soilMoisture,2026-09-25,,,,0,
cacao-03-lote3-sdk,soilMoisture,2026-09-26,,,,0,
cacao-03-lote3-sdk,soilMoisture,2026-09-27,,,,0,
cacao-03-lote3-sdk,soilTemperature,2026-09-24,26.16,25.89,26.02,14,
cacao-03-lote3-sdk,soilTemperature,2026-09-25,,,,0,
cacao-03-lote3-sdk,soilTemperature,2026-09-26,,,,0,
cacao-03-lote3-sdk,soilTemperature,2026-09-27,,,,0,
cacao-03-lote3-sdk,soilEC,2026-09-24,0.68,0.63,0.65,14,
cacao-03-lote3-sdk,soilEC,2026-09-25,,,,0,
cacao-03-lote3-sdk,soilEC,2026-09-26,,,,0,
cacao-03-lote3-sdk,soilEC,2026-09-27,,,,0,
cacao-03-lote3-sdk,illuminance,2026-09-24,13059.0,11253.0,12175.07,14,
cacao-03-lote3-sdk,illuminance,2026-09-25,,,,0,
cacao-03-lote3-sdk,illuminance,2026-09-26,,,,0,
cacao-03-lote3-sdk,illuminance,2026-09-27,,,,0,
cacao-04-aire-cams,pm25,2026-09-24,8.8,8.8,8.8,1,
cacao-04-aire-cams,pm25,2026-09-25,,,,0,
cacao-04-aire-cams,pm25,2026-09-26,,,,0,
cacao-04-aire-cams,pm25,2026-09-27,,,,0,
cacao-04-aire-cams,pm10,2026-09-24,9.0,9.0,9.0,1,
cacao-04-aire-cams,pm10,2026-09-25,,,,0,
cacao-04-aire-cams,pm10,2026-09-26,,,,0,
cacao-04-aire-cams,pm10,2026-09-27,,,,0,
cacao-04-aire-cams,aqi,2026-09-24,62.0,62.0,62.0,1,
cacao-04-aire-cams,aqi,2026-09-25,,,,0,
cacao-04-aire-cams,aqi,2026-09-26,,,,0,
cacao-04-aire-cams,aqi,2026-09-27,,,,0,
cacao-04-aire-cams,humidity,2026-09-24,78.0,78.0,78.0,1,
cacao-04-aire-cams,humidity,2026-09-25,,,,0,
cacao-04-aire-cams,humidity,2026-09-26,,,,0,
cacao-04-aire-cams,humidity,2026-09-27,,,,0,
cacao-05-meteo-feed,temperature,2026-09-24,26.7,26.7,26.7,1,
cacao-05-meteo-feed,temperature,2026-09-25,,,,0,
cacao-05-meteo-feed,temperature,2026-09-26,,,,0,
cacao-05-meteo-feed,temperature,2026-09-27,,,,0,
cacao-05-meteo-feed,humidity,2026-09-24,78.0,78.0,78.0,1,
cacao-05-meteo-feed,humidity,2026-09-25,,,,0,
cacao-05-meteo-feed,humidity,2026-09-26,,,,0,
cacao-05-meteo-feed,humidity,2026-09-27,,,,0,
cacao-05-meteo-feed,rainfall,2026-09-24,0.1,0.1,0.1,1,0.1
cacao-05-meteo-feed,rainfall,2026-09-25,,,,0,
cacao-05-meteo-feed,rainfall,2026-09-26,,,,0,
cacao-05-meteo-feed,rainfall,2026-09-27,,,,0,
cacao-05-meteo-feed,windSpeed,2026-09-24,3.0,3.0,3.0,1,
cacao-05-meteo-feed,windSpeed,2026-09-25,,,,0,
cacao-05-meteo-feed,windSpeed,2026-09-26,,,,0,
cacao-05-meteo-feed,windSpeed,2026-09-27,,,,0,
cacao-05-meteo-feed,radiation,2026-09-24,254.0,254.0,254.0,1,
cacao-05-meteo-feed,radiation,2026-09-25,,,,0,
cacao-05-meteo-feed,radiation,2026-09-26,,,,0,
cacao-05-meteo-feed,radiation,2026-09-27,,,,0,
cacao-06-ferm-paho,boxTemperature,2026-09-24,32.58,31.93,32.21,5,
cacao-06-ferm-paho,boxTemperature,2026-09-25,,,,0,
cacao-06-ferm-paho,boxTemperature,2026-09-26,,,,0,
cacao-06-ferm-paho,boxTemperature,2026-09-27,,,,0,
cacao-06-ferm-paho,humidity,2026-09-24,78.1,76.7,77.64,5,
cacao-06-ferm-paho,humidity,2026-09-25,,,,0,
cacao-06-ferm-paho,humidity,2026-09-26,,,,0,
cacao-06-ferm-paho,humidity,2026-09-27,,,,0,
cacao-06-ferm-paho,mass,2026-09-24,49.26,49.17,49.22,5,
cacao-06-ferm-paho,mass,2026-09-25,,,,0,
cacao-06-ferm-paho,mass,2026-09-26,,,,0,
cacao-06-ferm-paho,mass,2026-09-27,,,,0,
cacao-07-campo-era5,rainfall,2026-09-24,0.2,0.0,0.03,10,0.3
cacao-07-campo-era5,rainfall,2026-09-25,,,,0,
cacao-07-campo-era5,rainfall,2026-09-26,,,,0,
cacao-07-campo-era5,rainfall,2026-09-27,,,,0,
